epochs,batch,wd,lr,train_accuracy,val_accuracy,test_accuracy
3,8,0.1,1e-05,0.9932432432432432,1.0,0.9782608695652174
3,8,0.1,2e-05,0.9932432432432432,1.0,0.9565217391304348
3,8,0.1,5e-05,0.9932432432432432,1.0,0.9565217391304348
3,8,0.1,0.0001,1.0,0.9736842105263158,0.9347826086956522
3,8,0.01,1e-05,0.9932432432432432,1.0,0.9782608695652174
3,8,0.01,2e-05,0.9932432432432432,1.0,0.9565217391304348
3,8,0.01,5e-05,0.9932432432432432,1.0,0.9565217391304348
3,8,0.01,0.0001,1.0,0.9736842105263158,0.9347826086956522
3,8,0.001,1e-05,0.9932432432432432,1.0,0.9782608695652174
3,8,0.001,2e-05,0.9932432432432432,1.0,0.9565217391304348
3,8,0.001,5e-05,0.9932432432432432,1.0,0.9565217391304348
3,8,0.001,0.0001,1.0,0.9736842105263158,0.9347826086956522
3,8,0.0001,1e-05,0.9932432432432432,1.0,0.9782608695652174
3,8,0.0001,2e-05,0.9932432432432432,1.0,0.9565217391304348
3,8,0.0001,5e-05,0.9932432432432432,1.0,0.9565217391304348
3,8,0.0001,0.0001,1.0,0.9736842105263158,0.9347826086956522
3,16,0.1,1e-05,0.9054054054054054,0.7894736842105263,0.8478260869565217
3,16,0.1,2e-05,0.9864864864864865,0.9210526315789473,0.9347826086956522
3,16,0.1,5e-05,0.9932432432432432,0.9736842105263158,0.9565217391304348
3,16,0.1,0.0001,0.9932432432432432,0.9736842105263158,0.9565217391304348
3,16,0.01,1e-05,0.9054054054054054,0.7894736842105263,0.8478260869565217
3,16,0.01,2e-05,0.9864864864864865,0.9210526315789473,0.9347826086956522
3,16,0.01,5e-05,0.9932432432432432,0.9736842105263158,0.9565217391304348
3,16,0.01,0.0001,0.9932432432432432,0.9736842105263158,0.9565217391304348
3,16,0.001,1e-05,0.9054054054054054,0.7894736842105263,0.8478260869565217
3,16,0.001,2e-05,0.9864864864864865,0.9210526315789473,0.9347826086956522
3,16,0.001,5e-05,0.9932432432432432,0.9736842105263158,0.9565217391304348
3,16,0.001,0.0001,0.9932432432432432,0.9736842105263158,0.9565217391304348
3,16,0.0001,1e-05,0.9054054054054054,0.7894736842105263,0.8478260869565217
3,16,0.0001,2e-05,0.9864864864864865,0.9210526315789473,0.9347826086956522
3,16,0.0001,5e-05,0.9932432432432432,0.9736842105263158,0.9565217391304348
3,16,0.0001,0.0001,0.9932432432432432,0.9736842105263158,0.9565217391304348
3,32,0.1,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
3,32,0.1,2e-05,0.9662162162162162,0.9736842105263158,0.9347826086956522
3,32,0.1,5e-05,0.9932432432432432,0.9736842105263158,0.9782608695652174
3,32,0.1,0.0001,0.9932432432432432,1.0,0.9782608695652174
3,32,0.01,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
3,32,0.01,2e-05,0.9662162162162162,0.9736842105263158,0.9347826086956522
3,32,0.01,5e-05,0.9932432432432432,0.9736842105263158,0.9782608695652174
3,32,0.01,0.0001,0.9932432432432432,1.0,0.9782608695652174
3,32,0.001,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
3,32,0.001,2e-05,0.9662162162162162,0.9736842105263158,0.9347826086956522
3,32,0.001,5e-05,0.9932432432432432,0.9736842105263158,0.9782608695652174
3,32,0.001,0.0001,0.9932432432432432,1.0,0.9782608695652174
3,32,0.0001,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
3,32,0.0001,2e-05,0.9662162162162162,0.9736842105263158,0.9347826086956522
3,32,0.0001,5e-05,0.9932432432432432,0.9736842105263158,0.9782608695652174
3,32,0.0001,0.0001,0.9932432432432432,1.0,0.9782608695652174
3,64,0.1,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
3,64,0.1,2e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
3,64,0.1,5e-05,0.9797297297297297,1.0,0.9565217391304348
3,64,0.1,0.0001,0.9797297297297297,1.0,0.9782608695652174
3,64,0.01,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
3,64,0.01,2e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
3,64,0.01,5e-05,0.9797297297297297,1.0,0.9565217391304348
3,64,0.01,0.0001,0.9797297297297297,1.0,0.9782608695652174
3,64,0.001,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
3,64,0.001,2e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
3,64,0.001,5e-05,0.9797297297297297,1.0,0.9565217391304348
3,64,0.001,0.0001,0.9797297297297297,1.0,0.9782608695652174
3,64,0.0001,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
3,64,0.0001,2e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
3,64,0.0001,5e-05,0.9797297297297297,1.0,0.9565217391304348
3,64,0.0001,0.0001,0.9797297297297297,1.0,0.9782608695652174
5,8,0.1,1e-05,0.9797297297297297,0.8947368421052632,0.9130434782608695
5,8,0.1,2e-05,0.9932432432432432,1.0,0.9565217391304348
5,8,0.1,5e-05,1.0,0.9736842105263158,0.9782608695652174
5,8,0.1,0.0001,0.9932432432432432,1.0,0.9565217391304348
5,8,0.01,1e-05,0.9797297297297297,0.8947368421052632,0.9130434782608695
5,8,0.01,2e-05,0.9932432432432432,1.0,0.9565217391304348
5,8,0.01,5e-05,1.0,0.9736842105263158,0.9782608695652174
5,8,0.01,0.0001,0.9932432432432432,1.0,0.9565217391304348
5,8,0.001,1e-05,0.9797297297297297,0.8947368421052632,0.9130434782608695
5,8,0.001,2e-05,0.9932432432432432,1.0,0.9565217391304348
5,8,0.001,5e-05,1.0,0.9736842105263158,0.9782608695652174
5,8,0.001,0.0001,0.9932432432432432,1.0,0.9565217391304348
5,8,0.0001,1e-05,0.9797297297297297,0.8947368421052632,0.9130434782608695
5,8,0.0001,2e-05,0.9932432432432432,1.0,0.9565217391304348
5,8,0.0001,5e-05,1.0,0.9736842105263158,0.9782608695652174
5,8,0.0001,0.0001,0.9932432432432432,1.0,0.9565217391304348
5,16,0.1,1e-05,0.9527027027027027,0.8947368421052632,0.8913043478260869
5,16,0.1,2e-05,0.9932432432432432,0.9736842105263158,0.9565217391304348
5,16,0.1,5e-05,0.9932432432432432,1.0,0.9565217391304348
5,16,0.1,0.0001,1.0,0.9736842105263158,0.9782608695652174
5,16,0.01,1e-05,0.9527027027027027,0.8947368421052632,0.8913043478260869
5,16,0.01,2e-05,0.9932432432432432,0.9736842105263158,0.9565217391304348
5,16,0.01,5e-05,0.9932432432432432,1.0,0.9565217391304348
5,16,0.01,0.0001,1.0,0.9736842105263158,0.9782608695652174
5,16,0.001,1e-05,0.9527027027027027,0.8947368421052632,0.8913043478260869
5,16,0.001,2e-05,0.9932432432432432,0.9736842105263158,0.9565217391304348
5,16,0.001,5e-05,0.9932432432432432,1.0,0.9565217391304348
5,16,0.001,0.0001,1.0,0.9736842105263158,0.9782608695652174
5,16,0.0001,1e-05,0.9527027027027027,0.8947368421052632,0.8913043478260869
5,16,0.0001,2e-05,0.9932432432432432,0.9736842105263158,0.9565217391304348
5,16,0.0001,5e-05,0.9932432432432432,1.0,0.9565217391304348
5,16,0.0001,0.0001,1.0,0.9736842105263158,0.9782608695652174
5,32,0.1,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
5,32,0.1,2e-05,0.9864864864864865,0.9736842105263158,0.9347826086956522
5,32,0.1,5e-05,0.9864864864864865,1.0,1.0
5,32,0.1,0.0001,0.9932432432432432,1.0,0.9565217391304348
5,32,0.01,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
5,32,0.01,2e-05,0.9864864864864865,0.9736842105263158,0.9347826086956522
5,32,0.01,5e-05,0.9864864864864865,1.0,1.0
5,32,0.01,0.0001,0.9932432432432432,1.0,0.9565217391304348
5,32,0.001,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
5,32,0.001,2e-05,0.9864864864864865,0.9736842105263158,0.9347826086956522
5,32,0.001,5e-05,0.9864864864864865,1.0,1.0
5,32,0.001,0.0001,0.9932432432432432,1.0,0.9565217391304348
5,32,0.0001,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
5,32,0.0001,2e-05,0.9864864864864865,0.9736842105263158,0.9347826086956522
5,32,0.0001,5e-05,0.9864864864864865,1.0,1.0
5,32,0.0001,0.0001,0.9932432432432432,1.0,0.9565217391304348
5,64,0.1,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
5,64,0.1,2e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
5,64,0.1,5e-05,0.972972972972973,0.9210526315789473,0.9347826086956522
5,64,0.1,0.0001,0.9797297297297297,0.8947368421052632,0.9565217391304348
5,64,0.01,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
5,64,0.01,2e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
5,64,0.01,5e-05,0.972972972972973,0.9210526315789473,0.9347826086956522
5,64,0.01,0.0001,0.9797297297297297,0.8947368421052632,0.9565217391304348
5,64,0.001,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
5,64,0.001,2e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
5,64,0.001,5e-05,0.972972972972973,0.9210526315789473,0.9347826086956522
5,64,0.001,0.0001,0.9797297297297297,0.8947368421052632,0.9565217391304348
5,64,0.0001,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
5,64,0.0001,2e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
5,64,0.0001,5e-05,0.972972972972973,0.9210526315789473,0.9347826086956522
5,64,0.0001,0.0001,0.9797297297297297,0.8947368421052632,0.9565217391304348
10,8,0.1,1e-05,0.9527027027027027,0.8421052631578947,0.8695652173913043
10,8,0.1,2e-05,0.9932432432432432,0.9473684210526315,0.9347826086956522
10,8,0.1,5e-05,0.9932432432432432,0.9473684210526315,0.9782608695652174
10,8,0.1,0.0001,1.0,0.9736842105263158,0.9347826086956522
10,8,0.01,1e-05,0.9527027027027027,0.8421052631578947,0.8695652173913043
10,8,0.01,2e-05,0.9932432432432432,0.9473684210526315,0.9347826086956522
10,8,0.01,5e-05,0.9932432432432432,0.9473684210526315,0.9782608695652174
10,8,0.01,0.0001,1.0,0.9736842105263158,0.9347826086956522
10,8,0.001,1e-05,0.9527027027027027,0.8421052631578947,0.8695652173913043
10,8,0.001,2e-05,0.9932432432432432,0.9473684210526315,0.9347826086956522
10,8,0.001,5e-05,0.9932432432432432,0.9473684210526315,0.9782608695652174
10,8,0.001,0.0001,1.0,0.9736842105263158,0.9347826086956522
10,8,0.0001,1e-05,0.9527027027027027,0.8421052631578947,0.8695652173913043
10,8,0.0001,2e-05,0.9932432432432432,0.9473684210526315,0.9347826086956522
10,8,0.0001,5e-05,0.9932432432432432,0.9473684210526315,0.9782608695652174
10,8,0.0001,0.0001,1.0,0.9736842105263158,0.9347826086956522
10,16,0.1,1e-05,0.9391891891891891,0.8421052631578947,0.8913043478260869
10,16,0.1,2e-05,0.9797297297297297,0.9210526315789473,0.9347826086956522
10,16,0.1,5e-05,0.9932432432432432,1.0,0.9782608695652174
10,16,0.1,0.0001,0.9932432432432432,0.9210526315789473,0.9347826086956522
10,16,0.01,1e-05,0.9391891891891891,0.8421052631578947,0.8913043478260869
10,16,0.01,2e-05,0.9797297297297297,0.9210526315789473,0.9347826086956522
10,16,0.01,5e-05,0.9932432432432432,1.0,0.9782608695652174
10,16,0.01,0.0001,0.9932432432432432,0.9210526315789473,0.9347826086956522
10,16,0.001,1e-05,0.9391891891891891,0.8421052631578947,0.8913043478260869
10,16,0.001,2e-05,0.9797297297297297,0.9210526315789473,0.9347826086956522
10,16,0.001,5e-05,0.9932432432432432,1.0,0.9782608695652174
10,16,0.001,0.0001,0.9932432432432432,0.9210526315789473,0.9347826086956522
10,16,0.0001,1e-05,0.9391891891891891,0.8421052631578947,0.8913043478260869
10,16,0.0001,2e-05,0.9797297297297297,0.9210526315789473,0.9347826086956522
10,16,0.0001,5e-05,0.9932432432432432,1.0,0.9782608695652174
10,16,0.0001,0.0001,0.9932432432432432,0.9210526315789473,0.9347826086956522
10,32,0.1,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
10,32,0.1,2e-05,0.9797297297297297,0.9210526315789473,0.9130434782608695
10,32,0.1,5e-05,0.9932432432432432,1.0,0.9782608695652174
10,32,0.1,0.0001,0.9932432432432432,1.0,1.0
10,32,0.01,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
10,32,0.01,2e-05,0.9797297297297297,0.9210526315789473,0.9130434782608695
10,32,0.01,5e-05,0.9932432432432432,1.0,0.9782608695652174
10,32,0.01,0.0001,0.9932432432432432,1.0,1.0
10,32,0.001,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
10,32,0.001,2e-05,0.9797297297297297,0.9210526315789473,0.9130434782608695
10,32,0.001,5e-05,0.9932432432432432,1.0,0.9782608695652174
10,32,0.001,0.0001,0.9932432432432432,1.0,1.0
10,32,0.0001,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
10,32,0.0001,2e-05,0.9797297297297297,0.9210526315789473,0.9130434782608695
10,32,0.0001,5e-05,0.9932432432432432,1.0,0.9782608695652174
10,32,0.0001,0.0001,0.9932432432432432,1.0,1.0
10,64,0.1,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
10,64,0.1,2e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
10,64,0.1,5e-05,0.9797297297297297,0.9473684210526315,0.9347826086956522
10,64,0.1,0.0001,0.9864864864864865,0.9736842105263158,0.9782608695652174
10,64,0.01,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
10,64,0.01,2e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
10,64,0.01,5e-05,0.9797297297297297,0.9473684210526315,0.9347826086956522
10,64,0.01,0.0001,0.9864864864864865,0.9736842105263158,0.9782608695652174
10,64,0.001,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
10,64,0.001,2e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
10,64,0.001,5e-05,0.9797297297297297,0.9473684210526315,0.9347826086956522
10,64,0.001,0.0001,0.9864864864864865,0.9736842105263158,0.9782608695652174
10,64,0.0001,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
10,64,0.0001,2e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
10,64,0.0001,5e-05,0.9797297297297297,0.9473684210526315,0.9347826086956522
10,64,0.0001,0.0001,0.9864864864864865,0.9736842105263158,0.9782608695652174
15,8,0.1,1e-05,0.9932432432432432,1.0,0.9565217391304348
15,8,0.1,2e-05,0.9864864864864865,0.9736842105263158,0.9565217391304348
15,8,0.1,5e-05,0.9932432432432432,1.0,1.0
15,8,0.1,0.0001,0.9932432432432432,1.0,0.9565217391304348
15,8,0.01,1e-05,0.9932432432432432,1.0,0.9565217391304348
15,8,0.01,2e-05,0.9864864864864865,0.9736842105263158,0.9565217391304348
15,8,0.01,5e-05,0.9932432432432432,1.0,1.0
15,8,0.01,0.0001,0.9932432432432432,1.0,0.9565217391304348
15,8,0.001,1e-05,0.9932432432432432,1.0,0.9565217391304348
15,8,0.001,2e-05,0.9864864864864865,0.9736842105263158,0.9565217391304348
15,8,0.001,5e-05,0.9932432432432432,1.0,1.0
15,8,0.001,0.0001,0.9932432432432432,1.0,0.9565217391304348
15,8,0.0001,1e-05,0.9932432432432432,1.0,0.9565217391304348
15,8,0.0001,2e-05,0.9864864864864865,0.9736842105263158,0.9565217391304348
15,8,0.0001,5e-05,0.9932432432432432,1.0,1.0
15,8,0.0001,0.0001,0.9932432432432432,1.0,0.9565217391304348
15,16,0.1,1e-05,0.9324324324324325,0.8947368421052632,0.8913043478260869
15,16,0.1,2e-05,0.9797297297297297,0.9210526315789473,0.9347826086956522
15,16,0.1,5e-05,0.9932432432432432,1.0,0.9782608695652174
15,16,0.1,0.0001,1.0,0.9736842105263158,1.0
15,16,0.01,1e-05,0.9324324324324325,0.8947368421052632,0.8913043478260869
15,16,0.01,2e-05,0.9797297297297297,0.9210526315789473,0.9347826086956522
15,16,0.01,5e-05,0.9932432432432432,1.0,0.9782608695652174
15,16,0.01,0.0001,1.0,0.9736842105263158,1.0
15,16,0.001,1e-05,0.9324324324324325,0.8947368421052632,0.8913043478260869
15,16,0.001,2e-05,0.9797297297297297,0.9210526315789473,0.9347826086956522
15,16,0.001,5e-05,0.9932432432432432,1.0,0.9782608695652174
15,16,0.001,0.0001,1.0,0.9736842105263158,1.0
15,16,0.0001,1e-05,0.9324324324324325,0.8947368421052632,0.8913043478260869
15,16,0.0001,2e-05,0.9797297297297297,0.9210526315789473,0.9347826086956522
15,16,0.0001,5e-05,0.9932432432432432,1.0,0.9782608695652174
15,16,0.0001,0.0001,1.0,0.9736842105263158,1.0
15,32,0.1,1e-05,0.7432432432432432,0.7368421052631579,0.6739130434782609
15,32,0.1,2e-05,0.9864864864864865,0.9210526315789473,0.9130434782608695
15,32,0.1,5e-05,0.9864864864864865,0.9210526315789473,0.9347826086956522
15,32,0.1,0.0001,0.9932432432432432,0.9473684210526315,0.9565217391304348
15,32,0.01,1e-05,0.7432432432432432,0.7368421052631579,0.6739130434782609
15,32,0.01,2e-05,0.9864864864864865,0.9210526315789473,0.9130434782608695
15,32,0.01,5e-05,0.9864864864864865,0.9210526315789473,0.9347826086956522
15,32,0.01,0.0001,0.9932432432432432,0.9473684210526315,0.9565217391304348
15,32,0.001,1e-05,0.7432432432432432,0.7368421052631579,0.6739130434782609
15,32,0.001,2e-05,0.9864864864864865,0.9210526315789473,0.9130434782608695
15,32,0.001,5e-05,0.9864864864864865,0.9210526315789473,0.9347826086956522
15,32,0.001,0.0001,0.9932432432432432,0.9473684210526315,0.9565217391304348
15,32,0.0001,1e-05,0.7432432432432432,0.7368421052631579,0.6739130434782609
15,32,0.0001,2e-05,0.9864864864864865,0.9210526315789473,0.9130434782608695
15,32,0.0001,5e-05,0.9864864864864865,0.9210526315789473,0.9347826086956522
15,32,0.0001,0.0001,0.9932432432432432,0.9473684210526315,0.9565217391304348
15,64,0.1,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
15,64,0.1,2e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
15,64,0.1,5e-05,0.9864864864864865,1.0,0.9565217391304348
15,64,0.1,0.0001,0.9932432432432432,1.0,0.9782608695652174
15,64,0.01,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
15,64,0.01,2e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
15,64,0.01,5e-05,0.9864864864864865,1.0,0.9565217391304348
15,64,0.01,0.0001,0.9932432432432432,1.0,0.9782608695652174
15,64,0.001,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
15,64,0.001,2e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
15,64,0.001,5e-05,0.9864864864864865,1.0,0.9565217391304348
15,64,0.001,0.0001,0.9932432432432432,1.0,0.9782608695652174
15,64,0.0001,1e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
15,64,0.0001,2e-05,0.5472972972972973,0.5263157894736842,0.5217391304347826
15,64,0.0001,5e-05,0.9864864864864865,1.0,0.9565217391304348
15,64,0.0001,0.0001,0.9932432432432432,1.0,0.9782608695652174
